superficie_afectada_por_incendios_anio,superficie_afectada_por_incendios_provincia,superficie_afectada_por_incendios_total_hectareas,superficie_afectada_por_incendios_bosque_nativo_hectareas,superficie_afectada_por_incendios_bosque_cultivado_hectareas,superficie_afectada_por_incendios_arbustal_hectareas,superficie_afectada_por_incendios_pastizal_hectareas,superficie_afectada_por_incendios_sin_determinar_hectareas
1993,Buenos Aires,0,0,0,0,0,0
1993,Catamarca,0,0,0,0,0,0
1993,Chaco,0,0,0,0,0,0
1993,Chubut,149.5,10,6.25,0,133.25,0
1993,Córdoba,232941,59995,250,0,172696,0
1993,Corrientes,1727,0,918,0,809,0
1993,Entre Ríos,75,75,0,0,0,0
1993,Formosa,31,0,26,0,5,0
1993,Jujuy,0,0,0,0,0,0
1993,La Pampa,1207510,1207510,0,0,0,0
1993,La Rioja,0,0,0,0,0,0
1993,Mendoza,0,0,0,0,0,0
1993,Misiones,0,0,0,0,0,0
1993,Neuquén,340.85,282.31,6,0,52.54,0
1993,Río Negro,111,108,0,0,3,0
1993,Salta,0,0,0,0,0,0
1993,San Juan,0,0,0,0,0,0
1993,San Luis,330147,0,0,0,330147,0
1993,Santa Cruz,6351,727,0,0,5624,0
1993,Santa Fe,0,0,0,0,0,0
1993,Santiago del Estero,13000,9100,0,0,3900,0
1993,Tierra del Fuego,28.05,28.05,0,0,0,0
1993,Tucumán,4412,3703,4,0,705,0
1994,Buenos Aires,0,0,0,0,0,0
1994,Catamarca,0,0,0,0,0,0
1994,Chaco,0,0,0,0,0,0
1994,Chubut,3296.75,2157.75,39,0,1100,0
1994,Córdoba,240196,187812,100,0,52284,0
1994,Corrientes,140,0,72,0,68,0
1994,Entre Ríos,91,91,0,0,0,0
1994,Formosa,9,0,0,0,9,0
1994,Jujuy,0,0,0,0,0,0
1994,La Pampa,621840,167890,0,0,0,453950
1994,La Rioja,47150,10600,0,0,36550,0
1994,Mendoza,0,0,0,0,0,0
1994,Misiones,0,0,0,0,0,0
1994,Neuquén,18050.26,0.18,150.02,0,17900.06,0
1994,Río Negro,3271,3063,146,0,62,0
1994,Salta,0,0,0,0,0,0
1994,San Juan,0,0,0,0,0,0
1994,San Luis,25513,0,0,0,0,25513
1994,Santa Cruz,1684,43,0,0,1641,0
1994,Santa Fe,0,0,0,0,0,0
1994,Santiago del Estero,50000,35000,0,0,15000,0
1994,Tierra del Fuego,320.04,68.04,0,0,252,0
1994,Tucumán,65,0,0,0,65,0
1995,Buenos Aires,3000,0,0,0,3000,0
