route_id,latitude,longitude,speed,timestamp,id,direction,agency_name,agency_id,route_short_name,tip_id,trip_headsign
1572,-34.64807,-58.60862,0,1683659502,1823,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107137-1,a Liniers
1568,-34.68987,-58.6888542,0,1683659502,1826,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,253A,106840-1,a LIBERTAD
1571,-34.65271,-58.6425858,0.555555,1683659502,1834,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107027-1,a B° Nuevo
1571,-34.66056,-58.6670341,5.833333,1683659502,1835,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107028-1,a B° Nuevo
1571,-34.64085,-58.56544,7.222222,1683659502,1836,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107029-1,a B° Nuevo
1569,-34.66122,-58.6649857,3.611111,1683659502,1838,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,106895-1,a LIBERTAD
1570,-34.67139,-58.66386,3.055555,1683659502,1842,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,106949-1,a Est. CASTELAR
1569,-34.68451,-58.66216,3.055555,1683659502,1849,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,321A,106895-1,a LIBERTAD
1572,-34.64191,-58.5651855,3.611111,1683659502,1853,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107136-1,a Liniers
1572,-34.70588,-58.67087,0,1683659502,1856,1,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107142-1,a Liniers
1571,-34.64827,-58.6098747,4.722222,1683659502,1861,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,153A,107028-1,a B° Nuevo
1567,-34.65773,-58.6405,8.333333,1683659502,1865,0,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,82,253A,106786-1,a Liniers
1821,-34.70181,-58.27396,22.7777767,1683659508,1878,1,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159J,123414-1,a Constitución
1822,-34.62027,-58.3682747,0,1683659502,1881,0,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,72,159A,123499-1,C - Alpino
