Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Wandsworth,White
1,25 to 34,Male Victim,Not known/Not Recorded,0,Jun-03,Murder,Solved,Wandsworth,Asian
1,45 to 54,Male Victim,"Physical Assault, no weapon",0,Sep-03,Murder,Solved,Greenwich,Asian
1,45 to 54,Male Victim,Blunt Implement,0,Sep-03,Murder,Solved,Kingston Upon Thames,White
1,0 to 12,Female Victim,"Physical Assault, no weapon",0,Jun-03,Murder,Solved,Hounslow,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Female Victim,"Physical Assault, no weapon",0,Jan-03,Murder,Solved,Richmond Upon Thames,White
1,13 to 19,Female Victim,Not known/Not Recorded,0,Feb-03,Murder,Solved,Richmond Upon Thames,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Richmond Upon Thames,Other.
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Hillingdon,Asian
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,May-03,Murder,Solved,Hillingdon,White
1,25 to 34,Female Victim,"Physical Assault, no weapon",1,Jun-03,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female Victim,Other Methods of Killing,1,Jul-03,Murder,Solved,Hillingdon,White
1,45 to 54,Male Victim,Knife or Sharp Implement,1,Dec-03,Murder,Solved,Hillingdon,White
1,55 to 64,Male Victim,Not known/Not Recorded,0,Jan-03,Murder,Solved,Lambeth,Black
1,35 to 44,Male Victim,Shooting,0,Feb-03,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female Victim,Other Methods of Killing,0,Feb-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Female Victim,Other Methods of Killing,0,Mar-03,Murder,Unsolved,Lambeth,Black
1,13 to 19,Male Victim,Shooting,0,Mar-03,Murder,Unsolved,Lambeth,Black
1,45 to 54,Male Victim,Other Methods of Killing,0,Apr-03,Murder,Unsolved,Lambeth,White
1,25 to 34,Male Victim,Shooting,0,Apr-03,Murder,Solved,Lambeth,Black
1,45 to 54,Male Victim,Not known/Not Recorded,0,May-03,Murder,Solved,Hounslow,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Male Victim,Other Methods of Killing,0,Sep-03,Manslaughter,Solved,Lambeth,Black
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Sep-03,Murder,Solved,Lambeth,White
1,25 to 34,Male Victim,Shooting,0,Oct-03,Murder,Unsolved,Lambeth,Black
1,25 to 34,Male Victim,"Physical Assault, no weapon",0,Nov-03,Murder,Solved,Lambeth,White
1,35 to 44,Male Victim,Not known/Not Recorded,0,Nov-03,Murder,Unsolved,Lambeth,White
1,20 to 24,Male Victim,Shooting,0,Dec-03,Murder,Unsolved,Lambeth,Black
1,65 and over,Male Victim,Other Methods of Killing,0,Dec-03,Murder,Solved,Lambeth,White
1,20 to 24,Female Victim,Blunt Implement,0,Jul-03,Murder,Solved,Hounslow,Asian
1,45 to 54,Female Victim,Blunt Implement,0,Jul-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Male Victim,Blunt Implement,0,Jul-03,Murder,Solved,Hounslow,Asian
1,0 to 12,Male Victim,Blunt Implement,0,Jul-03,Murder,Solved,Hounslow,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Feb-03,Murder,Solved,Merton,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Brent,Asian
1,25 to 34,Male Victim,Shooting,0,Mar-03,Murder,Solved,Brent,Black
1,20 to 24,Male Victim,Shooting,0,Apr-03,Murder,Unsolved,Brent,Black
1,25 to 34,Male Victim,Shooting,0,Apr-03,Murder,Solved,Brent,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,May-03,Murder,Solved,Brent,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Brent,Asian
1,35 to 44,Female Victim,Other Methods of Killing,0,Aug-03,Murder,Solved,Brent,Asian
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Aug-03,Murder,Solved,Westminster,White
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Aug-03,Murder,Solved,Brent,Asian
1,35 to 44,Male Victim,Shooting,0,Sep-03,Murder,Solved,Brent,Black
1,0 to 12,Female Victim,Shooting,0,Sep-03,Murder,Solved,Brent,Black
1,45 to 54,Female Victim,Other Methods of Killing,1,Oct-03,Murder,Solved,Brent,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Apr-03,Murder,Solved,Harrow,White
1,20 to 24,Male Victim,Not known/Not Recorded,0,Sep-03,Murder,Solved,Harrow,White
1,45 to 54,Male Victim,Blunt Implement,0,Nov-03,Murder,Solved,Harrow,Asian
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Feb-03,Murder,Solved,Camden,Black
1,25 to 34,Male Victim,Shooting,0,Apr-03,Murder,Unsolved,Islington,Black
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Camden,Black
1,35 to 44,Female Victim,Not known/Not Recorded,0,Jan-03,Murder,Solved,Camden,White
1,25 to 34,Female Victim,Not known/Not Recorded,0,Jan-03,Murder,Solved,Camden,White
1,25 to 34,Female Victim,Not known/Not Recorded,0,Jan-03,Murder,Solved,Camden,White
1,45 to 54,Male Victim,Other Methods of Killing,0,Mar-03,Murder,Solved,Barnet,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Barnet,White
1,45 to 54,Male Victim,Not known/Not Recorded,0,Jul-03,Murder,Solved,Barnet,Black
1,45 to 54,Male Victim,Not known/Not Recorded,0,Sep-03,Murder,Solved,Ealing,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Ealing,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Ealing,White
1,65 and over,Female Victim,Not known/Not Recorded,0,Feb-03,Murder,Unsolved,Ealing,White
1,65 and over,Female Victim,Other Methods of Killing,0,Feb-03,Murder,Solved,Ealing,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jun-03,Murder,Solved,Ealing,Asian
1,0 to 12,Female Victim,Not known/Not Recorded,0,Aug-03,Murder,Solved,Ealing,Asian
1,25 to 34,Male Victim,Blunt Implement,0,Jun-03,Murder,Unsolved,Islington,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Islington,White
1,55 to 64,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Islington,White
1,35 to 44,Male Victim,Knife or Sharp Implement,1,Oct-03,Murder,Solved,Islington,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jan-03,Murder,Solved,Haringey,White
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Feb-03,Murder,Solved,Haringey,Black
1,35 to 44,Male Victim,Shooting,0,Feb-03,Murder,Solved,Haringey,Black
1,20 to 24,Male Victim,Other Methods of Killing,0,Feb-03,Murder,Solved,Haringey,White
1,35 to 44,Male Victim,Shooting,0,Mar-03,Murder,Solved,Haringey,Black
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Haringey,Black
1,25 to 34,Female Victim,Shooting,0,Mar-03,Murder,Solved,Haringey,Black
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Apr-03,Murder,Solved,Haringey,White
1,35 to 44,Female Victim,Other Methods of Killing,0,May-03,Manslaughter,Solved,Haringey,White
1,65 and over,Male Victim,Blunt Implement,0,Jun-03,Murder,Unsolved,Hackney,White
1,25 to 34,Male Victim,Blunt Implement,1,Jun-03,Murder,Solved,Haringey,Black
1,0 to 12,Female Victim,Not known/Not Recorded,0,Jul-03,Murder,Solved,Haringey,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Haringey,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Haringey,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Nov-03,Murder,Solved,Haringey,White
1,35 to 44,Male Victim,Knife or Sharp Implement,1,Nov-03,Murder,Solved,Haringey,White
1,65 and over,Female Victim,Other Methods of Killing,0,Mar-03,Murder,Solved,Southwark,White
1,45 to 54,Female Victim,Knife or Sharp Implement,1,Mar-03,Murder,Solved,Southwark,Black
1,20 to 24,Female Victim,Knife or Sharp Implement,1,Mar-03,Murder,Solved,Southwark,Black
1,65 and over,Male Victim,Blunt Implement,1,Apr-03,Murder,Solved,Southwark,White
1,55 to 64,Male Victim,Shooting,0,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male Victim,Shooting,0,May-03,Murder,Unsolved,Southwark,Black
1,45 to 54,Female Victim,"Physical Assault, no weapon",1,May-03,Murder,Solved,Southwark,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Jul-03,Murder,Solved,Southwark,Black
1,35 to 44,Male Victim,Other Methods of Killing,0,Jul-03,Murder,Solved,Southwark,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Jul-03,Murder,Solved,Southwark,White
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Southwark,Black
1,35 to 44,Male Victim,"Physical Assault, no weapon",0,Sep-03,Murder,Solved,Southwark,White
1,55 to 64,Male Victim,Shooting,0,Oct-03,Murder,Unsolved,Southwark,White
1,25 to 34,Male Victim,Blunt Implement,0,May-03,Murder,Solved,Lewisham,White
1,35 to 44,Male Victim,Shooting,0,Jun-03,Murder,Solved,Lewisham,Asian
1,13 to 19,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Lewisham,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Sep-03,Murder,Solved,Lewisham,Black
1,65 and over,Female Victim,Blunt Implement,1,Sep-03,Murder,Solved,Lewisham,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Nov-03,Murder,Solved,Lewisham,Black
1,35 to 44,Female Victim,Knife or Sharp Implement,1,Apr-03,Murder,Solved,Bromley,White
1,25 to 34,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Greenwich,White
1,35 to 44,Male Victim,Knife or Sharp Implement,0,Mar-03,Murder,Solved,Greenwich,White
1,20 to 24,Male Victim,Knife or Sharp Implement,1,May-03,Murder,Solved,Greenwich,Black
1,35 to 44,Male Victim,Knife or Sharp Implement,0,May-03,Murder,Solved,Greenwich,White
1,25 to 34,Male Victim,Other Methods of Killing,0,Jun-03,Murder,Solved,Greenwich,White
1,35 to 44,Male Victim,Not known/Not Recorded,0,Jul-03,Murder,Solved,Greenwich,White
1,20 to 24,Female Victim,Knife or Sharp Implement,1,Sep-03,Murder,Solved,Greenwich,White
1,45 to 54,Male Victim,Knife or Sharp Implement,0,Oct-03,Murder,Solved,Greenwich,White
1,20 to 24,Male Victim,Knife or Sharp Implement,0,Nov-03,Murder,Solved,Greenwich,White
